idx,word,meaning,link
1,유치원 3법,"유치원 3 법은 유아교육법, 사립학교법, 학교급식법 개정안을 말합니다. <br>법안 통과로 사립유치원은 국가 회계관리 시스템인 '에듀파인'을 의무적으로 사용해야 하고, <br>지원금을 유용하면 횡령죄가 적용됩니다. <br>또 설립자는 유치원 원장을 겸임하지 못하고, 학교급식법 적용 대상에 포함됩니다.",https://www.ytn.co.kr/_ln/0103_202001140604595858
2,세타2엔진,"쎄타2 엔진은 현대차가 자체 개발한 2~2.4L 가솔린 직분사 엔진이다. <br>2015년 미국에서 이 엔진을 장착한 차량이 소음·진동을 일으키거나 <br>주행 중 시동 꺼짐, 화재 등 사고 가능성이 제기되면서 논란이 시작됐다. <br>현대차그룹은 국내에서도 쎄타2 엔진이 장착된 16만4000대의 차량을 리콜했다.",https://news.joins.com/article/23601497
3,강북발전특별법,"주민들을 위한 체육, 복지, 문화시설을 만들기위해 필요한 강북구 자금의 적극 유치를 위해 박용진 의원의 제안한 법이다. <br>강북구는 재정 자립도가 낮은 지역이기 때문에 현 정부 재정운영 사업방식인 매칭시스템에 불리한 조건을 가지고 있다. <br>이러한 매칭펀드 방식을 극복하기 위해 마련된 지역구 자금 유치 법안이다.",http://m.shinmoongo.net/a.html?uid=135037
4,전선 지중화 사업,"전선을 지하에 묻거나 설치하는 사업으로, <br>일반적으로 강풍의 뇌우나 강설, 빙설 폭풍 중에 발생될 수 있는 정전에 덜 취약하게끔 만들기 위해, <br>또 화재를 예방하기 위해 보통 수행된다.",https://ko.wikipedia.org/wiki/%EC%A0%84%EC%84%A0%EB%A5%98_%EC%A7%80%EC%A4%91%ED%99%94
5,동북선도시철도,동북선 도시철도 민간투자사업은 성동구 왕십리역에서 미아사거리역을 지나 노원구 상계역까지 잇는 사업이다.,http://www.conslove.co.kr
6,세대복합주거단지,"주거 외에 상업, 교통, 업무, 문화, 교육 등이 서로 밀접한 관계를 갖고 상호보완이 가능하도록 연계 개발해 <br>하나의 도시를 형성하는 단지를 일컫는다. <br>아울러 기존의 단독주택(1세대), 아파트(2세대), 주상복합아파트(3세대)에서 더 확장된 ‘제4세대 주거공간’으로 불리기도 한다.",http://www.skyedaily.com/news/news_view.html?ID=64991
7,육아종합지원센터,"어린이집 설치, 운영에 대한 전반적인 지원과 보육교직원에 대한 상담 및 교육을 진행하는 곳이다. <br>더불어, 육아콘텐츠와 관련하여 부모교육 및 영유아 발달에 대한 검사 지원 사업을 진행하기도 한다.",
8,복합체육청사,"수영장·다목적홀·실내풋살장 등이 포함된 대규모 시설로서 지하는 주차장, 지상은 문화공간으로 활용하여 <br>시민의 문화예술 수요를 해소시킬 수 있는 공간이다.",http://www.korea.kr/news/pressReleaseView.do?newsId=156236620
