idx,word,meaning,link
1,소상공인 상생협력지원금,상생보상협의체는 2019년 3월 22일 통신장애로 피해를 입은 소상공인들을 대상으로 상생협력 지원금을 지급하기로 최종 합의한 바 있다.<br>이 때 지급하기로한 것을 소상공인 상생협력지원금이라고 한다.,http://www.m-i.kr/news/articleView.html?idxno=514046
2,청년창업혁신타운,혁신적인 아이디어를 지닌 청년들의 창업을 지원하기 위한 '청년혁신타운'이 서울 마포에 들어선다. <br>정부가 옛 신용보증기금 사옥을 '청년혁신타운'으로 조성해 <br>청년 창업가를 위한 종합 보육공간으로 마련하기로 한 것이다.<br><br>연 면적만 3만 6천2백 제곱미터. 국내 최대규모다.,http://www.ktv.go.kr/content/view?content_id=558712
3,메이커 스페이스,3D 모델 파일과 다양한 재료들로 소비자가 원하는 사물을 즉석에서 만들어(printing)낼 수 있는 작업 공간,https://terms.naver.com/entry.nhn?docId=2070832&cid=42346&categoryId=42346
4,본회의 정례화,정기적이지 않았던 국회 본회의를 정기적으로 열리도록 정하는 것이다.<br>* 정례화 : 규칙적이지 않았던 일이 규칙적인 일로 됨. 또는 그렇게 함.,https://ko.dict.naver.com/#/entry/koko/70052e87eb924a4592825a720cd096ae
5,육아체육복합공공센터,육아·보육을 비롯하여 체육활동시설이 함께 마련되어있는 센터를 말한다.,
6,생활밀착형 스마트시티,"도시재생사업과의 연계성을 확보하기 위해 기존 도시재생뉴딜사업 지역에 주민체감도가 높고 상용화가 쉬운 스마트기술을 적용하는 사업이다.<br>안전·소방, 교통, 에너지·환경, 생활·복지 등 주민 생활과 밀접한 4대 핵심 분야에 대한 스마트서비스를 활용해<br> 지역 내 현안을 해결할 수 있을 것으로 기대된다.",https://smartcity.go.kr/2020/05/19/%EA%B5%AD%ED%86%A0%EB%B6%80-%EC%83%9D%ED%99%9C%EB%B0%80%EC%B0%A9%ED%98%95-%EB%8F%84%EC%8B%9C%EC%9E%AC%EC%83%9D-%EC%8A%A4%EB%A7%88%ED%8A%B8%EA%B8%B0%EC%88%A0-%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85-16/
7,소상공인협동조합,"소상공인들이 함께 모여 공동브랜드 개발, 공동마케팅, 공동연구개발, 공동 네트워크, 공동장소 임차 등의 활동을 하는 조합이다.",https://www.gov.kr/portal/service/serviceInfo/SD0000001492
